Store,Date,Product,Weekly_Sales,inventory level,Temperature,Past promotion of product in lac,demand forecast
1,02/05/2010,Blueberry scented candle,1643690.90,0,42.31,2.572,8.11
4,02/12/2010,Stainless steel water bottle,1641957.44,1,38.51,2.548,8.11
5,19-02-2010,Leather messenger bag,1611968.17,0,39.93,2.514,8.11
2,26-02-2010,Organic coconut oil,1409727.59,0,46.63,2.561,8.11
3,03/05/2010,Bluetooth wireless earbuds,1554806.68,0,46.50,2.625,8.11
2,03/12/2010,Floral patterned throw pillow,1439541.59,0,57.79,2.667,8.11
1,19-03-2010,Bamboo cutting board set,1472515.79,0,54.58,2.72,8.11
4,26-03-2010,Aromatherapy essential oil diffuser,1404429.92,0,51.45,2.732,8.11
5,04/02/2010,Resistance band set,1594968.28,0,62.27,2.719,7.81
2,04/09/2010,Ceramic plant pot with saucer,1545418.53,0,65.86,2.77,7.81
3,16-04-2010,Insulated lunch box,1466058.28,0,66.32,2.808,7.81
1,23-04-2010,Himalayan salt lamp,1391256.12,0,64.84,2.795,7.81
4,30-04-2010,Reusable silicone food storage bags,1425100.71,0,67.41,2.78,7.81
5,05/07/2010,Handwoven rattan basket,1603955.12,0,72.55,2.835,7.81
2,14-05-2010,Yoga mat with carrying strap,1494251.50,0,74.78,2.854,7.81
3,21-05-2010,Stainless steel french press coffee maker,1399662.07,0,76.44,2.826,7.81
2,28-05-2010,Memory foam travel neck pillow,1432069.95,0,80.44,2.759,7.81
1,06/04/2010,Glass meal prep containers set,1615524.71,0,80.69,2.705,7.81
4,06/11/2010,Vegan leather wallet,1542561.09,0,80.43,2.668,7.81
5,18-06-2010,LED desk lamp with USB charging port,1503284.06,0,84.11,2.637,7.81
2,25-06-2010,Blueberry scented candle,1422711.60,0,84.34,2.653,7.81
3,07/02/2010,Stainless steel water bottle,1492418.14,0,80.91,2.669,7.79
1,07/09/2010,Leather messenger bag,1546074.18,0,80.48,2.642,7.79
4,16-07-2010,Organic coconut oil,1448938.92,0,83.15,2.623,7.79
5,23-07-2010,Bluetooth wireless earbuds,1385065.20,0,83.36,2.608,7.79
2,30-07-2010,Floral patterned throw pillow,1371986.60,0,81.84,2.64,7.79
3,08/06/2010,Bamboo cutting board set,1605491.78,0,87.16,2.627,7.79
2,13-08-2010,Aromatherapy essential oil diffuser,1508237.76,0,87.00,2.692,7.79
1,20-08-2010,Resistance band set,1513080.49,0,86.65,2.664,7.79
4,27-08-2010,Ceramic plant pot with saucer,1449142.92,0,85.22,2.619,7.79
5,09/03/2010,Insulated lunch box,1540163.53,0,81.21,2.577,7.79
2,09/10/2010,Himalayan salt lamp,1507460.69,1,78.69,2.565,7.79
3,17-09-2010,Reusable silicone food storage bags,1430378.67,0,82.11,2.582,7.79
1,24-09-2010,Handwoven rattan basket,1351791.03,0,80.94,2.624,7.79
4,10/01/2010,Yoga mat with carrying strap,1453329.50,0,71.89,2.603,7.84
5,10/08/2010,Stainless steel french press coffee maker,1508239.93,0,63.93,2.633,7.84
2,15-10-2010,Memory foam travel neck pillow,1459409.10,0,67.18,2.72,7.84
3,22-10-2010,Glass meal prep containers set,1345454.00,0,69.86,2.725,7.84
2,29-10-2010,Vegan leather wallet,1384209.22,0,69.64,2.716,7.84
1,11/05/2010,LED desk lamp with USB charging port,1551659.28,0,58.74,2.689,7.84
4,11/12/2010,Blueberry scented candle,1494479.49,0,59.61,2.728,7.84
5,19-11-2010,Stainless steel water bottle,1483784.18,0,51.41,2.771,7.84
2,26-11-2010,Leather messenger bag,1955624.11,1,64.52,2.735,7.84
3,12/03/2010,Organic coconut oil,1548033.78,0,49.27,2.708,7.84
1,12/10/2010,Bluetooth wireless earbuds,1682614.26,0,46.33,2.843,7.84
4,17-12-2010,Floral patterned throw pillow,1891034.93,0,49.84,2.869,7.84
5,24-12-2010,Bamboo cutting board set,2387950.20,0,52.33,2.886,7.84
2,31-12-2010,Aromatherapy essential oil diffuser,1367320.01,1,48.43,2.943,7.84
3,01/07/2011,Resistance band set,1444732.28,0,48.27,2.976,7.74
2,14-01-2011,Ceramic plant pot with saucer,1391013.96,0,35.40,2.983,7.74
1,21-01-2011,Insulated lunch box,1327405.42,0,44.04,3.016,7.74
4,28-01-2011,Himalayan salt lamp,1316899.31,0,43.83,3.01,7.74
5,02/04/2011,Reusable silicone food storage bags,1606629.58,0,42.27,2.989,7.74
2,02/11/2011,Handwoven rattan basket,1649614.93,1,36.39,3.022,7.74
3,18-02-2011,Yoga mat with carrying strap,1686842.78,0,57.36,3.045,7.74
1,25-02-2011,Stainless steel french press coffee maker,1456800.28,0,62.90,3.065,7.74
4,03/04/2011,Memory foam travel neck pillow,1636263.41,0,59.58,3.288,7.74
5,03/11/2011,Glass meal prep containers set,1553191.63,0,53.56,3.459,7.74
2,18-03-2011,Vegan leather wallet,1576818.06,0,62.76,3.488,7.74
3,25-03-2011,LED desk lamp with USB charging port,1541102.38,0,69.97,3.473,7.74
2,04/01/2011,Blueberry scented candle,1495064.75,0,59.17,3.524,7.68
1,04/08/2011,Stainless steel water bottle,1614259.35,0,67.84,3.622,7.68
4,15-04-2011,Leather messenger bag,1559889.00,0,71.27,3.743,7.68
5,22-04-2011,Organic coconut oil,1564819.81,0,72.99,3.807,7.68
2,29-04-2011,Bluetooth wireless earbuds,1455090.69,0,72.03,3.81,7.68
3,05/06/2011,Floral patterned throw pillow,1629391.28,0,64.61,3.906,7.68
1,13-05-2011,Bamboo cutting board set,1604775.58,0,75.64,3.899,7.68
4,20-05-2011,Aromatherapy essential oil diffuser,1428218.27,0,67.63,3.907,7.68
5,27-05-2011,Resistance band set,1466046.67,0,77.72,3.786,7.68
2,06/03/2011,Ceramic plant pot with saucer,1635078.41,0,83.00,3.699,7.68
3,06/10/2011,Insulated lunch box,1588948.32,0,83.13,3.648,7.68
2,17-06-2011,Himalayan salt lamp,1532114.86,0,86.41,3.637,7.68
1,24-06-2011,Reusable silicone food storage bags,1438830.15,0,83.58,3.594,7.68
4,07/01/2011,Handwoven rattan basket,1488538.09,0,85.55,3.524,7.96
5,07/08/2011,Yoga mat with carrying strap,1534849.64,0,85.83,3.48,7.96
2,15-07-2011,Stainless steel french press coffee maker,1455119.97,0,88.54,3.575,7.96
3,22-07-2011,Memory foam travel neck pillow,1396926.82,0,85.77,3.651,7.96
1,29-07-2011,Glass meal prep containers set,1352219.79,0,86.83,3.682,7.96
4,08/05/2011,Vegan leather wallet,1624383.75,0,91.65,3.684,7.96
5,08/12/2011,LED desk lamp with USB charging port,1525147.09,0,90.76,3.638,7.96
2,19-08-2011,Blueberry scented candle,1530761.43,0,89.94,3.554,7.96
3,26-08-2011,Stainless steel water bottle,1464693.46,0,87.96,3.523,7.96
2,09/02/2011,Leather messenger bag,1550229.22,0,87.83,3.533,7.96
1,09/09/2011,Organic coconut oil,1540471.24,1,76.00,3.546,7.96
4,16-09-2011,Bluetooth wireless earbuds,1514259.78,0,79.94,3.526,7.96
5,23-09-2011,Floral patterned throw pillow,1380020.27,0,75.80,3.467,7.96
2,30-09-2011,Bamboo cutting board set,1394561.83,0,79.69,3.355,7.96
3,10/07/2011,Aromatherapy essential oil diffuser,1630989.95,0,69.31,3.285,7.87
1,14-10-2011,Resistance band set,1493525.93,0,71.74,3.274,7.87
4,21-10-2011,Ceramic plant pot with saucer,1502562.78,0,63.71,3.353,7.87
5,28-10-2011,Insulated lunch box,1445249.09,0,66.57,3.372,7.87
2,11/04/2011,Himalayan salt lamp,1697229.58,0,54.98,3.332,7.87
3,11/11/2011,Reusable silicone food storage bags,1594938.89,0,59.11,3.297,7.87
2,18-11-2011,Handwoven rattan basket,1539483.70,0,62.25,3.308,7.87
1,25-11-2011,Yoga mat with carrying strap,2033320.66,1,60.14,3.236,7.87
4,12/02/2011,Stainless steel french press coffee maker,1584083.95,0,48.91,3.172,7.87
5,12/09/2011,Memory foam travel neck pillow,1799682.38,0,43.93,3.158,7.87
